date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:00:37	15143/15143	---M-Z	200	added ('OK')	text/html	etag:%226140c3b-3b27-51a33bc042a6a%22	http://seriousgaming.fishingcactus.com/en/index.html	/Users/james/websites/Fishing%20Cactus/seriousgaming.fishingcactus.com/en/index.html	(from )
17:00:37	251/251	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Sep%202015%2021:03:30%20GMT	http://seriousgaming.fishingcactus.com/robots.txt		(from )
17:00:37	1070/1070	---M--	200	added ('OK')	image/x-icon	etag:%226140c3a-42e-51a33bc0255aa%22	http://seriousgaming.fishingcactus.com/en/favicon.ico	/Users/james/websites/Fishing%20Cactus/seriousgaming.fishingcactus.com/en/favicon.ico	(from http://seriousgaming.fishingcactus.com/en/index.html)
17:00:37	17063/17063	---M-Z	200	added ('OK')	text/html	etag:%22614007d-42a7-51a33bc07c44a%22	http://seriousgaming.fishingcactus.com/en/Projets.html	/Users/james/websites/Fishing%20Cactus/seriousgaming.fishingcactus.com/en/Projets.html	(from http://seriousgaming.fishingcactus.com/en/index.html)
17:00:38	19016/19016	---M-Z	200	added ('OK')	text/html	etag:%22614009f-4a48-51a33bc00a02a%22	http://seriousgaming.fishingcactus.com/en/Clients.html	/Users/james/websites/Fishing%20Cactus/seriousgaming.fishingcactus.com/en/Clients.html	(from http://seriousgaming.fishingcactus.com/en/index.html)
17:00:38	11498/11498	---M-Z	200	added ('OK')	text/html	etag:%226140c3c-2cea-51a33bc05ef8a%22	http://seriousgaming.fishingcactus.com/en/Philosophie.html	/Users/james/websites/Fishing%20Cactus/seriousgaming.fishingcactus.com/en/Philosophie.html	(from http://seriousgaming.fishingcactus.com/en/index.html)
17:00:38	14268/14268	---M-Z	200	added ('OK')	text/html	etag:%226140c3e-37bc-51a33bc09896a%22	http://seriousgaming.fishingcactus.com/en/Technologie.html	/Users/james/websites/Fishing%20Cactus/seriousgaming.fishingcactus.com/en/Technologie.html	(from http://seriousgaming.fishingcactus.com/en/index.html)
17:00:38	11877/11877	---M-Z	200	added ('OK')	text/html	etag:%226140c39-2e65-51a33bc08dd8a%22	http://seriousgaming.fishingcactus.com/en/Contact.html	/Users/james/websites/Fishing%20Cactus/seriousgaming.fishingcactus.com/en/Contact.html	(from http://seriousgaming.fishingcactus.com/en/index.html)
17:00:38	18058/18058	---M-Z	200	added ('OK')	text/html	etag:%226140c4e-468a-51a33bcad5aea%22	http://seriousgaming.fishingcactus.com/en/Projets/Algo-Bot/algo-bot_programming_technobel.html	/Users/james/websites/Fishing%20Cactus/seriousgaming.fishingcactus.com/en/Projets/Algo-Bot/algo-bot_programming_technobel.html	(from http://seriousgaming.fishingcactus.com/en/index.html)
17:00:39	19186/19186	---M-Z	200	added ('OK')	text/html	etag:%226140c65-4af2-51a33bce5d00a%22	http://seriousgaming.fishingcactus.com/en/Projets/Roger/roger_ulb_hemi_negligence_kinect_medical.html	/Users/james/websites/Fishing%20Cactus/seriousgaming.fishingcactus.com/en/Projets/Roger/roger_ulb_hemi_negligence_kinect_medical.html	(from http://seriousgaming.fishingcactus.com/en/index.html)
17:00:39	14290/14290	---M-Z	200	added ('OK')	text/html	etag:%22614007f-37d2-51a33bce0616a%22	http://seriousgaming.fishingcactus.com/en/Projets/Pro_train_driver/pro_train_driver.html	/Users/james/websites/Fishing%20Cactus/seriousgaming.fishingcactus.com/en/Projets/Pro_train_driver/pro_train_driver.html	(from http://seriousgaming.fishingcactus.com/en/Projets.html)
17:00:39	14242/14242	---M-Z	200	added ('OK')	text/html	etag:%226140070-37a2-51a33bcd5360a%22	http://seriousgaming.fishingcactus.com/en/Projets/Le%20Pass/le_pass.html	/Users/james/websites/Fishing%20Cactus/seriousgaming.fishingcactus.com/en/Projets/Le%20Pass/le_pass.html	(from http://seriousgaming.fishingcactus.com/en/Projets.html)
17:00:39	14371/14371	---M-Z	200	added ('OK')	text/html	etag:%226140073-3823-51a33bcd92daa%22	http://seriousgaming.fishingcactus.com/en/Projets/Master%20Find/Master_Find.html	/Users/james/websites/Fishing%20Cactus/seriousgaming.fishingcactus.com/en/Projets/Master%20Find/Master_Find.html	(from http://seriousgaming.fishingcactus.com/en/Projets.html)
17:00:40	14323/14323	---M-Z	200	added ('OK')	text/html	etag:%226140076-37f3-51a33bcf938ca%22	http://seriousgaming.fishingcactus.com/en/Projets/Waterloo/waterloo.html	/Users/james/websites/Fishing%20Cactus/seriousgaming.fishingcactus.com/en/Projets/Waterloo/waterloo.html	(from http://seriousgaming.fishingcactus.com/en/Projets.html)
17:00:40	328/328	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Sep%202015%2021:03:33%20GMT	http://seriousgaming.fishingcactus.com/en/Projets/waterloo/waterloo.html	/Users/james/websites/Fishing%20Cactus/seriousgaming.fishingcactus.com/en/Projets/waterloo/waterloo-2.html	(from http://seriousgaming.fishingcactus.com/en/Projets.html)
17:00:40	14610/14610	---M-Z	200	added ('OK')	text/html	etag:%22614007c-3912-51a33bcd2d4aa%22	http://seriousgaming.fishingcactus.com/en/Projets/lazarus-mirages/lazarus_mirages_transmedia.html	/Users/james/websites/Fishing%20Cactus/seriousgaming.fishingcactus.com/en/Projets/lazarus-mirages/lazarus_mirages_transmedia.html	(from http://seriousgaming.fishingcactus.com/en/Projets.html)
17:00:40	14501/14501	---M-Z	200	added ('OK')	text/html	etag:%22614006d-38a5-51a33bcb4502a%22	http://seriousgaming.fishingcactus.com/en/Projets/alimentarium/alimentarium.html	/Users/james/websites/Fishing%20Cactus/seriousgaming.fishingcactus.com/en/Projets/alimentarium/alimentarium.html	(from http://seriousgaming.fishingcactus.com/en/Projets.html)
17:00:41	17412/17412	---M-Z	200	added ('OK')	text/html	etag:%226140c68-4404-51a33bcea15ca%22	http://seriousgaming.fishingcactus.com/en/Projets/Skolkovo/Skolkovo_Mipim_technocity_russia.html	/Users/james/websites/Fishing%20Cactus/seriousgaming.fishingcactus.com/en/Projets/Skolkovo/Skolkovo_Mipim_technocity_russia.html	(from http://seriousgaming.fishingcactus.com/en/Projets.html)
